,LINK,NAME,SUBTITLE,PRICE
0,,,,
1,https://www.nike.com/ca/u/custom-nike-air-max-95-by-you-10001245/8951100390,Nike Air Max 95 By You,Custom Men's Shoe,235
2,https://www.nike.com/ca/t/sportswear-trend-fleece-cardigan-WQjdPf/FN4906-330,Nike Sportswear Trend,Men's Fleece Cardigan,100
3,https://www.nike.com/ca/t/air-max-270-older-shoes-9KTdjGPz/943345-020,Nike Air Max 270,Older Kids' Shoes,150
4,https://www.nike.com/ca/t/sportswear-tech-pack-short-sleeve-dri-fit-top-d4z3Ss/FB4395-491,Nike Sportswear Tech Pack,Men's Short-sleeve Dri-FIT Top,100
5,https://www.nike.com/ca/t/netherlands-2022-23-stadium-away-dri-fit-football-shirt-4bnjsR/DN0767-455,Netherlands 2022/23 Stadium Away,Women's Nike Dri-FIT Football Shirt,115
6,https://www.nike.com/ca/t/australia-2022-23-stadium-away-dri-fit-football-shirt-XKZCLs/DN0676-451,Australia 2022/23 Stadium Away,Men's Nike Dri-FIT Football Shirt,115
7,https://www.nike.com/ca/t/air-force-1-le-older-shoe-sCkTz9/DH2920-001,Nike Air Force 1 LE,Older Kids' Shoe,105
8,https://www.nike.com/ca/launch/r/DX8601-256,Jordan x Travis Scott,Women's Leather Trousers,480
9,https://www.nike.com/ca/t/zoom-mercurial-vapor-15-elite-xxv-fg-football-boot-tlC9sL/FB8395-060,Nike Zoom Mercurial Vapor 15 Elite XXV FG,Firm-Ground Football Boot,330
10,https://www.nike.com/ca/t/infinity-pro-2-golf-shoes-Ls11rN/DJ5593-104,Nike Infinity Pro 2,Men's Golf Shoes,145
11,https://www.nike.com/ca/t/dri-fit-victory-golf-trousers-1pxcfc/DN2397-072,Nike Dri-FIT Victory,Men's Golf Trousers,100
12,https://www.nike.com/ca/t/air-max-2021-shoes-jkzqGt/DA1923-600,Nike Air Max 2021,Women's Shoes,210
13,https://www.nike.com/ca/t/england-club-fleece-sweatshirt-8s157n/DR9141-063,England Club Fleece,Men's Sweatshirt,80
14,https://www.nike.com/ca/u/custom-nike-metcon-8-by-you-10001342/6547088796,Nike Metcon 8 By You,Custom Men's Training Shoes,190
15,https://www.nike.com/ca/t/dri-fit-swift-mid-rise-8cm-2-in-1-running-shorts-with-pockets-B1M2qg/DX1029-623,Nike Dri-FIT Swift,Women's Mid-Rise 8cm (approx.) 2-in-1 Running Shorts with Pockets,95
16,https://www.nike.com/ca/t/paris-saint-germain-2022-23-home-football-kit-SwVj0K/DJ7917-411,Paris Saint-Germain 2022/23 Home,Baby Football Kit,95
17,https://www.nike.com/ca/t/brazil-2022-23-home-younger-dri-fit-football-kit-58j3nM/DN0878-740,Brazil 2022/23 Home,Younger Kids' Nike Dri-FIT Football Kit,110
18,https://www.nike.com/ca/t/paris-saint-germain-strike-fourth-jordan-dri-fit-adv-knit-football-pants-Pwfxqh/DR4564-010,Paris Saint-Germain Strike Fourth,Men's Jordan Dri-FIT ADV Knit Football Pants,150
19,https://www.nike.com/ca/t/air-max-270-shoes-nnTrqDGR/AH8050-005,Nike Air Max 270,Men's Shoes,210
20,https://www.nike.com/ca/t/air-force-1-shadow-shoes-fNw903/DV7449-100,Nike Air Force 1 Shadow,Women's Shoes,170
21,https://www.nike.com/ca/t/sportswear-phoenix-fleece-over-oversized-crew-neck-sweatshirt-5pslkM/DQ5761-200,Nike Sportswear Phoenix Fleece,Women's Over-Oversized Crew-Neck Sweatshirt,85
22,https://www.nike.com/ca/t/revolution-6-road-running-shoes-sP4fgd/DC3728-003,Nike Revolution 6,Men's Road Running Shoes,95
23,https://www.nike.com/ca/t/sky-jordan-1-and-shoe-XHMWLt/BQ7196-301,Sky Jordan 1,Baby and Toddler Shoe,65
24,https://www.nike.com/ca/t/club-alumni-french-terry-shorts-4RLsrG/DX0502-100,Nike Club Alumni,Men's French Terry Shorts,75
